place_id,name,lat,lon,category,rating
4ead70c32c5bb67b239d5ff4,Grand Heritage Resort,28.476525852435838,77.52359046789607,Diner,
4e8b19edf790b823d4fa1330,The Cook's Cafe,28.464296952210642,77.52134513168586,Indian Restaurant,
ee26b38459c84abb630b6792,Big Bite,28.464087,77.530271,Indian Restaurant,
4ea2f2e27ee52a35dd1bf086,Room No 1014 Greater Noida,28.476018,77.552401,Wine Bar,
559ebd94498eba17e2ff1b2c,Domino's Pizza,28.482,77.499,Pizzeria,
4e75bd7a2271ffa4e7111832,Sparkles,28.481555053873507,77.4981164932251,Bar,
4cfb7a37ee9cb60cb97e90ad,Jimmy'z,28.481545623540786,77.49871730804443,Indian Restaurant,
5351211b498e47e6977d5ad2,Momo point.,28.48248006042296,77.51703046827795,Chinese Restaurant,
6811e4e4843b2e4f45865d63,Zippy,28.4763702,77.5238798,Restaurant,
6a47fae23107bc017ed94a76,The Tea Shore Cafe,28.49563133,77.40206151,Food and Beverage Retail,
6a4818ed3107bc017edbbd2b,Desi Food Junction,28.49637012,77.40207318,Food and Beverage Retail,
5c0160a133e118002ca8940c,34 Chowringhee Lane,28.496452,77.402011,Indian Restaurant,
686a7dc38198d22e2d04b48c,Sarpanch Bagh,28.49413,77.422874,Indian Restaurant,
64e1dc523dccbe7c00b26922,Athyeka,28.494643,77.436355,South Indian Restaurant,
63f1ae4e8535ad0df42ce6d4,Caffeinated,28.494891,77.436604,Café,
61d6d1e69f7cdc033f5ad96d,Roastery Coffee House,28.49514,77.436554,Coffee Shop,
66bcbb5bd78d120e41b8f205,Coffee Brat & Company,28.495174,77.44021,Coffee Shop,
6773a71faa3d227e7a5df234,The Ninth House,28.495981,77.437402,"Cafe, Coffee, and Tea House",
51e674de498eebe266c7e7be,Café Coffee Day,28.48850440979004,77.49164581298828,Coffee Shop,
4f16a14ae4b0960d03e8a284,Café Coffee Day,28.491151809692383,77.5122299194336,Coffee Shop,
5c28e1082632ec002cbe0545,Taco Bell,28.488682,77.513932,Taco Restaurant,
4ea7a88acc21adeb98fd949f,Marshals Dining Hall,28.4910124,77.5381409,Restaurant,
5c470aaa898bdc002cd50781,Starbucks,28.498922,77.40354,Coffee Shop,
50894412e4b03043b58b3e1b,Café Coffee Day,28.499731454591345,77.40421861211776,Coffee Shop,
50ac5a2c498e9668ba216c14,Café Coffee Day,28.50134,77.401323,Coffee Shop,
593a571d9ec3995c0c27a73e,Sigdi,28.500659,77.394394,Indian Restaurant,
52f93b1711d28345288e5b81,IBM Cafetaria,28.503732681274414,77.40106964111328,Cafeteria,
52088b4c11d2ae42ed62eb34,McDonald's,28.500745533870045,77.40955456095276,Fast Food Restaurant,
62b48290525c2a6269b6d0df,Skyhouse,28.500576,77.409328,Cocktail Bar,
5682af75498e4732a3355aec,Shree Rathnam,28.500644,77.410426,South Indian Restaurant,
651a7fb01f7ca05573792759,House Of Migo,28.500624,77.421973,Restaurant,
6a914d2ec957bb67f1566151,Small Talk,28.495313,77.436798,Coffee Shop,
502d25c3e4b0451509ab27d5,IBM Cafeteria,28.504341867879944,77.39900573503164,Food Court,
60f04178a79c8f5d1a58b13c,baraamda heritage,28.50391671851366,77.41518884895868,Theme Restaurant,
50e5a056e4b08ec8fb756cd3,Cocoleaf,28.501998165966285,77.40019967280129,Indian Restaurant,
509a2097e4b095fae6a86e39,Subway,28.511258250696795,77.40776099221384,Sandwich Spot,
5d6e1a8b8fd46900085a51bb,Moti Mahal,28.500689,77.410024,Indian Restaurant,
5693be58498ec12f1b344017,SHAWARMAS,28.5066990621854,77.40931915664419,Food Truck,
65130adc73466a015bf58bc2,WOW Momo,28.5011191,77.4233557,Dumpling Restaurant,
6a1e0192976a555380c9f48b,Samaun Restaurant,28.506783,77.47611,Indian Restaurant,
6a4c619d3107bc017e5e1e79,BBQ Noida 90,28.51503,77.4151,Food and Beverage Retail,
5c5af897be7078002c9be329,Chao Bella,28.513747,77.468912,Italian Restaurant,
54ca1a6a498eea62b46db22b,Mosaic,28.513877860330467,77.46885551228885,Restaurant,
5787b24ecd10f89591e69d59,Belgian Beer Cafe,28.513754727080546,77.46899843215942,Beer Garden,
40f3fa32cffe4892970a02f4,Connexions,28.514256,77.469112,Restaurant,
5ae82f5b73fe25002c3c40d0,FOOD STORIE,28.52224852238541,77.39646077156067,Comfort Food Restaurant,
4fa7de10e4b0fc2afcc0c81d,Casa del Booze,28.52739675940034,77.39668508831643,Cocktail Bar,
512497ece4b0f396a744752b,Eagle Film Studio,28.5220321089204,77.39017693933613,Public Art,
69c0d271e6d2cc48fd6eb529,KFC,28.52222395,77.41983437,Restaurant,
63ef8182ed2548486e3a169a,Burger King,28.5365128,77.4219126,Fast Food Restaurant,
4dad422c4b2271d46ba2542d,City Kitchen,28.536336,77.40249,Restaurant,
4dc8eca61838e695fbdd487d,The Tanya's Cuisine,28.545317169983015,77.45811043000148,Indian Restaurant,
6a4c6d033107bc017e624765,Mr Roll and Miss Momo,28.55026234,77.55088494,Food and Beverage Retail,
